date,open,high,low,close,adj_close,volume
2022-01-25,143.1100,143.7100,141.8000,142.2200,121.6737,15599000
2022-01-26,142.2600,142.5700,140.4900,140.5000,120.2023,23655500
2022-01-27,142.4100,143.3700,142.3300,143.0800,122.4095,21501800
2022-01-28,142.0900,143.4600,141.8500,143.1300,122.4523,12826500
2022-01-31,142.1800,142.9500,141.9600,142.3900,121.8192,13998400
2022-02-01,142.2800,142.3600,141.0600,141.7200,121.4149,20806100
2022-02-02,141.9500,143.5700,141.9300,142.2000,121.8261,18404600
2022-02-03,140.4400,141.4800,140.1800,141.0900,120.8751,17234100
2022-02-04,139.8500,140.1400,138.7800,139.0100,119.0931,23609800
2022-02-07,138.9100,139.3100,138.5500,139.1000,119.1703,12962400
2022-02-08,138.2100,138.5800,137.8200,138.1700,118.3735,16269200
2022-02-09,138.7200,139.3700,138.1900,138.4300,118.5962,14349100
2022-02-10,137.6600,137.8300,135.8400,136.2300,116.7114,30896200
2022-02-11,136.8700,138.5100,135.3600,138.2500,118.4420,43210300
2022-02-14,137.1300,137.7400,135.9700,136.5300,116.9684,23157400
2022-02-15,135.6000,135.8400,134.9400,134.9800,115.6406,18198500
2022-02-16,135.9500,136.0700,134.5100,135.7800,116.3259,16473700
2022-02-17,136.4500,137.5700,135.9000,136.7900,117.1912,24508200
2022-02-18,137.5200,138.3700,137.1600,138.2300,118.4249,17522600
2022-02-22,137.6900,138.6700,137.4700,138.5900,118.7333,19534000
2022-02-23,137.6800,137.8500,136.5700,136.6800,117.0969,17757800
2022-02-24,139.1000,139.3700,136.2500,136.7700,117.1741,28150400
2022-02-25,136.8600,137.3100,136.1800,136.8700,117.2597,15025400
2022-02-28,138.4300,140.0400,138.3200,139.8700,119.8299,25817700
2022-03-01,140.3600,142.3300,140.0000,141.3000,121.2154,35664400
2022-03-02,139.8400,140.4200,136.4100,136.4700,117.0719,30397400
2022-03-03,137.4900,138.7000,137.0200,137.8600,118.2644,20649100
2022-03-04,140.3600,140.8200,139.3100,140.2400,120.3060,25853100
2022-03-07,139.1200,140.6400,138.7700,139.1700,119.3881,23710900
2022-03-08,137.5100,138.2500,137.2500,137.7700,118.1871,28331300
2022-03-09,137.0700,137.3400,136.1300,136.4200,117.0290,18819200
2022-03-10,134.8300,135.1700,133.7200,134.4600,115.3476,26868900
2022-03-11,134.3300,135.4500,134.2100,134.9100,115.7336,15583800
2022-03-14,132.7000,132.8900,131.7200,131.7600,113.0314,24385000
2022-03-15,132.8600,133.1500,131.1900,131.5300,112.8341,17518800
2022-03-16,131.8300,133.1300,130.3200,132.8200,113.9408,25857700
2022-03-17,132.8200,133.3400,131.0700,131.8300,113.0914,19330600
2022-03-18,132.5700,133.5400,132.5700,133.4400,114.4726,55891700
2022-03-21,131.2800,131.6700,129.7500,130.3500,111.8219,26122000
2022-03-22,128.9600,129.3400,128.3400,128.6800,110.3892,21830900
2022-03-23,129.3700,131.6000,128.8600,131.5000,112.8083,21266100
2022-03-24,129.6500,131.1800,129.6000,130.4700,111.9247,17141600
